id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds,Player,recruiting_rating,recruiting_stars,recruiting_rank,source
5159497,James,Williams,Florida State,262,78,10,3,DL,Kansas City,MO,USA,39.100105,-94.5781416,29095.0,[],James Williams,0.92,4.0,,transfer_portal
5164345,Chase,Loftin,Florida State,223,78,23,1,TE,Omaha,NE,USA,41.2587459,-95.9383758,31055.0,['106599'],Chase Loftin,0.9997,5.0,1.0,cfbd_2024
5164350,Jayvan,Boggs,Florida State,204,73,15,1,WR,Cocoa,FL,USA,28.3553873,-80.7318827,12009.0,['106370'],Jayvan Boggs,0.9997,5.0,1.0,cfbd_2024
5164657,Mario,Nash Jr.,Florida State,270,76,63,1,OL,De Kalb,MS,USA,32.767633,-88.6508784,28069.0,['106605'],Mario Nash Jr.,0.9997,5.0,1.0,cfbd_2024
5167701,Darryll,Desir,Florida State,261,77,90,1,DL,Miami,FL,USA,25.7742658,-80.1936589,12086.0,['106580'],Darryll Desir,0.9997,5.0,1.0,cfbd_2024
5167703,Mandrell,Desir,Florida State,265,76,93,1,DL,Miami,FL,USA,25.7742658,-80.1936589,12086.0,[],Mandrell Desir,0.9997,5.0,1.0,cfbd_2024
5167708,Tylon,Lee,Florida State,277,76,96,1,DL,Pace,FL,USA,29.607689,-81.9307201,12107.0,['106414'],Tylon Lee,0.9997,5.0,1.0,cfbd_2024
5195290,Chastan,Brown,Florida State,265,80,54,1,OL,Warner Robins,GA,USA,32.6200973,-83.606568,13153.0,['106650'],Chastan Brown,0.9997,5.0,1.0,cfbd_2024
5195291,Jesse,Harrold,Florida State,247,77,94,1,DL,Tampa,FL,USA,27.9477595,-82.458444,12057.0,[],Jesse Harrold,0.9997,5.0,1.0,cfbd_2024
5198289,Tae'Shaun,Gelsey,Florida State,235,76,83,1,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031.0,[],Tae'Shaun Gelsey,0.9997,5.0,1.0,cfbd_2024
5209709,Teriq,Mallory,Florida State,208,77,82,1,WR,New Haven,CT,USA,41.3082138,-72.9250518,9009.0,[],Teriq Mallory,0.9997,5.0,1.0,cfbd_2024
5216568,Sean,Poret,Florida State,285,77,75,1,OL,Sandy Springs,GA,USA,33.9242688,-84.3785379,13121.0,[],Sean Poret,0.9997,5.0,1.0,cfbd_2024
5216791,Brunno,Reus,Florida State,202,72,42,1,P,Sarasota,FL,USA,27.3364347,-82.5306527,12115.0,['108525'],Brunno Reus,0.9997,5.0,1.0,cfbd_2024
5218242,Zay,Parks,Florida State,196,71,21,1,RB,Crestview,FL,USA,30.7621326,-86.5705084,12091.0,[],Zay Parks,0.9997,5.0,1.0,cfbd_2024
5218243,Jeremiah,Johnson,Florida State,207,71,30,1,RB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073.0,[],Jeremiah Johnson,0.9997,5.0,1.0,cfbd_2024
5218244,Gav,Holman,Florida State,233,73,43,1,LB,Uniondale,NY,USA,40.7031115,-73.5895167364443,36059.0,[],Gav Holman,0.9997,5.0,1.0,cfbd_2024
5218246,Luke,Douglas,Florida State,231,77,45,1,TE,Jupiter,FL,USA,26.9260832,-80.12108914060954,12099.0,[],Luke Douglas,0.9997,5.0,1.0,cfbd_2024
