Player,School,Position,recruiting_rating,recruiting_stars,recruiting_rank,source,match_found
Jeremy Bell,Georgia,WR,,,,not_found,False
Walter Blanchard,Georgia,WR,,,,not_found,False
Marek Briley,Georgia,WR,,,,not_found,False
Ali Hall,Georgia,DB,,,,not_found,False
Will Taylor,Georgia,WR,0.8489,3.0,1227.0,cfbd_2021,True
Henry Peagler,Georgia,OL,,,,not_found,False
Clinton Barlow,Georgia,DL,,,,not_found,False
Bo Walker,Georgia,RB,0.9021,4.0,324.0,cfbd_2025,True
Darren Ikinnagbon,Georgia,LB,0.9521,4.0,94.0,cfbd_2025,True
Dominick Kelly,Georgia,DB,0.8975,4.0,373.0,cfbd_2025,True
JJ Hanne,Georgia,DL,0.8778,3.0,700.0,cfbd_2025,True
Todd Robinson,Georgia,S,0.9225,4.0,207.0,cfbd_2025,True
AJ Kruah,Georgia,LB,,,,not_found,False
Chase Linton,Georgia,LB,0.9445,4.0,118.0,cfbd_2025,True
Daniel Okonkwo,Georgia,S,0.88,3.0,644.0,cfbd_2025,True
Landon Roldan,Georgia,WR,0.9049,4.0,305.0,cfbd_2025,True
Dennis Uzochukwu,Georgia,OL,0.9063,4.0,294.0,cfbd_2025,True
Maurice Hayes,Georgia,CB,0.8478,3.0,1634.0,cfbd_2024,True
Colter Ginn,Georgia,QB,,,,not_found,False
Jaden Reddell,Georgia,TE,0.9678,4.0,69.0,cfbd_2024,True
Wade Penn,Georgia,RB,,,,not_found,False
Henry Waller,Georgia,DB,,,,not_found,False
Brandon Mathis,Georgia,RB,,,,not_found,False
Danny Curran,Georgia,WR,,,,not_found,False
Jahzare Jackson,Georgia,OL,0.8678,3.0,982.0,cfbd_2024,True
Tate Nelms,Georgia,OL,,,,not_found,False
Henry Delp,Georgia,TE,,,,not_found,False
Hezekiah Millender,Georgia,QB,0.8753,3.0,763.0,cfbd_2025,True
London Seymour,Georgia,DT,,,,not_found,False
Jaylan Morgan,Georgia,DB,0.9103,4.0,273.0,cfbd_2025,True
Eli Barrow,Georgia,LB,,,,not_found,False
Carter Horton,Georgia,P,,,,not_found,False
Tyler Williams,Georgia,WR,0.8917,4.0,454.0,cfbd_2025,True
Duncan Carpenter,Georgia,LB,,,,not_found,False
Connor Ferguson,Georgia,PK,,,,not_found,False
Clayton Hood,Georgia,LB,,,,not_found,False
Cole Jones,Georgia,LB,,,,not_found,False
Benjamin McElreath,Georgia,WR,,,,not_found,False
Jackson St. Clair,Georgia,WR,,,,not_found,False
